name,author,description,book_id,genre
Moby-Dick,HERMAN MELVILLE,"Introduction by Elizabeth Hardwick Illustrations by Rockwell Kent Nominated as one of America’s best-loved novels by PBS’s The Great American Read First published in 1851, Herman Melville’s masterpiece is, in Elizabeth Hardwick’s words, “the greatest novel in American literature.” The saga of Captain Ahab and his monomaniacal pursuit of the white whale remains a peerless adventure story but one full of mythic grandeur, poetic majesty, and symbolic power. Filtered through the consciousness of the novel’s narrator, Ishmael, Moby-Dick draws us into a universe full of fascinating characters and stories, from the noble cannibal Queequeg to the natural history of whales, while reaching existential depths that excite debate and contemplation to this day.",10,"['Fiction', 'Historical Fiction', 'Historical', 'Literature', 'Audiobook', 'Novels', 'Historical Romance']"
The Kite Runner,KHALED HOSSEINI,"The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father's servant, The Kite Runner is a beautifully crafted novel set in a country that is in the process of being destroyed. It is about the power of reading, the price of betrayal, and the possibility of redemption, and it is also about the power of fathers over sons—their love, their sacrifices, their lies. The first Afghan novel to be written in English, The Kite Runner tells a sweeping story of family, love, and friendship against a backdrop of history that has not been told in fiction before, bringing to mind the large canvases of the Russian writers of the nineteenth century. But just as it is old-fashioned in its narration, it is contemporary in its subject-the devastating history of Afghanistan over the last thirty years. As emotionally gripping as it is tender, The Kite Runner is an unusual and powerful debut.",11,"['Fiction', 'Historical Fiction', 'Classics', 'Contemporary', 'Book Club', 'Novels', 'Historical']"
A Midsummer Night's Dream,WILLIAM SHAKESPEARE,"""With detailed notes from the world's leading center for Shakespeare studies""--Cover.",12,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels']"
Animal Farm,GEORGE ORWELL,A satire on totalitarianism in which farm animals overthrow their human owner and set up their own government.,13,"['Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction', 'Novels']"
The Diary of a Young Girl,ANNE FRANK,,14,"['Nonfiction', 'Biography', 'Memoir', 'Classics', 'Historical', 'Holocaust', 'Autobiography']"
The Girl with the Dragon Tattoo,STIEG LARSSON,"Forty years after the disappearance of Harriet Vanger from the secluded island owned and inhabited by the powerful Vanger family, her octogenarian uncle hires journalist Mikael Blomqvist and Lisbeth Salander, an unconventional young hacker, to investigate",15,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Book Club', 'Suspense']"
Harry Potter and the Prisoner of Azkaban,J. K. ROWLING,"During his third year at Hogwarts School for Witchcraft and Wizardry, Harry Potter must confront the devious and dangerous wizard responsible for his parents' deaths.",16,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade']"
The Lord of the Rings,JOHN RONALD REUEL TOLKIEN,"An epic depicting the Great War of the Ring, a struggle between good and evil in Middle-Earth, in which the tiny Hobbits play a key role.",17,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Audiobook', 'High Fantasy', 'Science Fiction Fantasy']"
Mockingjay,SUZANNE COLLINS,"Against all odds, Katniss Everdeen has survived the Hunger Games twice. But now that she's made it out of the bloody arena alive, she's still not safe. The Capitol is angry. The Capitol wants revenge. Who do they think should pay for the unrest? Katniss. And what's worse, President Snow has made it clear that no one else is safe either. Not Katniss's family, not her friends, not the people of District 12. Powerful and haunting, this thrilling final installment of Suzanne Collins's groundbreaking The Hunger Games trilogy promises to be one of the most talked about books of the year.",18,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
Harry Potter,J. K. ROWLING,"Collects the complete series that relates the adventures of young Harry Potter, who attends Hogwarts School of Witchcraft and Wizardry, where he and others of his kind learn their craft.",19,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Audiobook', 'Childrens', 'Adventure']"
The Lovely Bones,ALICE SEBOLD,"The spirit of fourteen-year-old Susie Salmon describes her murder, her surprise at her new home in heaven, and her witness to her family's grief, efforts to find the killer, and attempts to come to terms with what has happened. Reprint.",20,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Thriller', 'Crime']"
Harry Potter and the Deathly Hallows,J. K. ROWLING,"At a time when the forces of evil seem to be gaining the upper hand, Harry comes of age in the wizarding world, and must take on and defeat Voldemort--or be killed himself.",21,"['Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure', 'Middle Grade']"
The Giver,LOIS LOWRY,"At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life. An ALA Notable Book for Children & Newbery Medal Winner. Reissue.",30,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']"
The Da Vinci Code,DAN BROWN,"THE #1 WORLDWIDE BESTSELLING PHENOMENON, WITH MORE THAN 85 MILLION COPIES SOLD “Blockbuster perfection . . . a gleefully erudite suspense novel.” —The New York Times “A pulse-quickening, brain-teasing adventure.” —People While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter. Even more startling, the late curator was involved in the Priory of Sion, a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci, and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever. Robert Langdon returns in The Lost Symbol, Inferno, Origin, and The Secret of Secrets (coming soon)!",22,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure']"
Lord of the Flies,WILLIAM GOLDING,"Lord of the Flies remains as provocative today as when it was first published in 1954, igniting passionate debate with its startling, brutal portrait of human nature. Though critically acclaimed, it was largely ignored upon its initial publication. Yet soon it became a cult favorite among both students and literary critics who compared it to J.D. Salinger's The Catcher in the Rye in its influence on modern thought and literature. William Golding's compelling story about a group of very ordinary small boys marooned on a coral island has become a modern classic. At first it seems as though it is all going to be great fun; but the fun before long becomes furious and life on the island turns into a nightmare of panic and death. As ordinary standards of behaviour collapse, the whole world the boys know collapses with them—the world of cricket and homework and adventure stories—and another world is revealed beneath, primitive and terrible. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies has established itself as a true classic. ""Lord of the Flies is one of my favorite books. That was a big influence on me as a teenager, I still read it every couple of years."" —Suzanne Collins, author of The Hunger Games ""As exciting, relevant, and thought-provoking now as it was when Golding published it in 1954."" —Stephen King",23,"['Fiction', 'Classics', 'Young Adult', 'School', 'Dystopia', 'Literature', 'Read For School']"
Hamlet,WILLIAM SHAKESPEARE,"Folger's Shakespeare Library presents these definitive editions of Shakespeare's classic tragedies, featuring scene-by-scene plot summaries, full explanatory notes, and much more. Original. (Plays/Drama)",24,"['Classics', 'Plays', 'Fiction', 'School', 'Read For School', 'Literature', 'High School']"
The Help,KATHRYN STOCKETT,"The #1 New York Times bestselling novel and basis for the Academy Award-winning film—a timeless and universal story about the lines we abide by, and the ones we don’t—nominated as one of America’s best-loved novels by PBS’s The Great American Read. Aibileen is a black maid in 1962 Jackson, Mississippi, who’s always taken orders quietly, but lately she’s unable to hold her bitterness back. Her friend Minny has never held her tongue but now must somehow keep secrets about her employer that leave her speechless. White socialite Skeeter just graduated college. She’s full of ambition, but without a husband, she’s considered a failure. Together, these seemingly different women join together to write a tell-all book about work as a black maid in the South, that could forever alter their destinies and the life of a small town...",25,"['Fiction', 'Historical Fiction', 'Book Club', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary']"
Of Mice and Men,JOHN STEINBECK,Two close friends in the Salinas Valley of California dream of the time they will have enough money to buy their own farm.,26,"['Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School']"
Memoirs of a Geisha,ARTHUR GOLDEN,"A fisherman's daughter in 1930s Japan rises to become a famous geisha. After training, Sayuri's virginity is sold to the highest bidder, then the school finds her a general for a patron. When he dies, she is reunited with the only man she loved.",27,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Book Club', 'Adult', 'Novels']"
Fifty Shades Of Grey,E L JAMES,"""And in this quiet moment as I close my eyes, spent and sated, I think I'm in the eye of the storm. And in spite of all he's said, and what he hasn't said, I don't think I have ever been so happy."" When literature student Anastasia Steele goes to interview young entrepreneur Christian Grey, she encounters a man who is beautiful, brilliant, and intimidating. The unworldly, innocent Ana is startled to realize she wants this man and, despite his enigmatic reserve, finds she is desperate to get close to him. Unable to resist Ana's quiet beauty, wit, and independent spirit, Grey admits he wants her, too—but on his own terms. Shocked yet thrilled by Grey's singular erotic tastes, Ana hesitates. For all the trappings of success—his multinational businesses, his vast wealth, his loving family—Grey is a man tormented by demons and consumed by the need to control. When the couple embarks on a daring, passionately physical affair, Ana discovers Christian Grey's secrets and explores her own dark desires. An Instant #1 New York Times Bestseller More than 165 Million Copies Sold Worldwide One of 100 Great Reads in the Great American Read 133 Weeks on the New York Times Bestseller List This book is intended for mature audiences.",28,"['Fiction', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance', 'Chick Lit', 'Erotica']"
The Monk Downstairs,TIM FARRINGTON,"Rebecca Martin is a single mother with an apartment to rent and a sense that she has used up her illusions. I had the romantic thing with my first husband, thank you very much, she tells a hapless suitor. I'm thirty-eight years old, and I've got a daughter learning to read and a job I don't quite like. I don't need the violin music. But when the new tenant in her in-law apartment turns out to be Michael Christopher, on the lam after twenty years in a monastery and smack dab in the middle of a dark night of the soul, Rebecca begins to suspect that she is not as thoroughly disillusioned as she had thought. Her daughter, Mary Martha, is delighted with the new arrival, as is Rebecca's mother, Phoebe, a rollicking widow making a new life for herself among the spiritual eccentrics of the coastal town of Bolinas. Even Rebecca's best friend, Bonnie, once a confirmed cynic in matters of the heart, urges Rebecca on. But none of them, Rebecca feels, understands how complicated and dangerous love actually is. As her unlikely friendship with the ex-monk grows toward something deeper, and Michael wrestles with his despair while adjusting to a second career flipping hamburgers at McDonald's, Rebecca struggles with her own temptation to hope. But it is not until she is brought up short by the realities of life and death that she begins to glimpse the real mystery of love, and the unfathomable depths of faith. Beautifully written and playfully engaging, this novel. is about one man wrestling with his yearning for a life of contemplation and the need for a life of action in the world. But it's Rebecca's spirit, as well as her relationships with Mary Martha, Phoebe, her irresponsible surfer ex-husband Rory -- and, of course, the monk downstairs -- that makes this story shine.",29,"['Fiction', 'Fantasy', 'Philosophy', 'Self Help', 'Book Club', 'Novels', 'Spirituality']"
Marina,CARLOS RUIZ ZAFÓN,,3716,"['Fiction', 'Mystery', 'Fantasy', 'Young Adult', 'Horror', 'Gothic', 'Historical Fiction']"
"The Lion, the Witch and the Wardrobe (adult)",C. S. LEWIS,"There are a thousand stories in the land of Narnia, and the first is about to be told in an extraordinary motion picture, The Chronicles of Narnia: The Lion, the Witch and the Wardrobe, from Walt Disney Pictures and Walden Media. In the never-ending war between good and evil, The Chronicles of Narnia set the stage for battles of epic proportions. Some take place in vast fields, where the forces of light and darkness clash. But other battles occur within the small chambers of the heart and are equally decisive. Journeys to the ends of the world, fantastic creatures, betrayals, heroic deeds and friendships won and lost -- all come together in an unforgettable world of magic. So join the battle to end all battles. The second volume in The Chronicles of Narnia® The Lion, the Witch and the Wardrobe Narnia .... a land frozen in eternal winter ... a country waiting to be set free. Four adventurers step through a wardrobe door and into the land of Narnia -- a land enslaved by the power of the White Witch. But when almost all hope is lost, the return of the Great Lion, Aslan, signals a great change ... and a great sacrifice.",31,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Classics', 'Middle Grade', 'Adventure']"
The Time Traveler's Wife,AUDREY NIFFENEGGER,"Passionately in love, Clare and Henry vow to hold onto each other and their marriage as they struggle with the effects of Chrono-Displacement Disorder, a condition that casts Henry involuntarily into the world of time travel.",32,"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Book Club', 'Contemporary']"
A Game of Thrones,GEORGE R. R. MARTIN,"A tale of court intrigues in the land of Seven Kingdoms, a country ""blessed by golden summers that go on for years, and cursed by cruel winters that can last a generation.""",33,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Audiobook', 'Science Fiction Fantasy']"
Eat Pray Love,ELIZABETH GILBERT,"One of the most iconic, beloved, and bestselling books of our time from the bestselling author of City of Girls and Big Magic, Elizabeth Gilbert. Elizabeth Gilbert’s Eat Pray Love touched the world and changed countless lives, inspiring and empowering millions of readers to search for their own best selves. Now, this beloved and iconic book returns in a beautiful 10th anniversary edition, complete with an updated introduction from the author, to launch a whole new generation of fans. In her early thirties, Elizabeth Gilbert had everything a modern American woman was supposed to want—husband, country home, successful career—but instead of feeling happy and fulfilled, she was consumed by panic and confusion. This wise and rapturous book is the story of how she left behind all these outward marks of success, and set out to explore three different aspects of her nature, against the backdrop of three different cultures: pleasure in Italy, devotion in India, and on the Indonesian island of Bali, a balance between worldly enjoyment and divine transcendence.",34,"['Nonfiction', 'Memoir', 'Travel', 'Book Club', 'Biography', 'Chick Lit', 'Spirituality']"
Little Women,LOUISA MAY ALCOTT,"In New England during the Civil War, four sisters experience joys and hardships together.",35,"['Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Book Club']"
Complete Stories,DOROTHY PARKER,"A complete collection of short stories by the noted humorist features Parker's best known tales, along with thirteen stories never previously collected.",36,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Historical Fiction', 'Literature', 'Historical']"
Gweilo,MARTIN BOOTH,"Shadowed by the unhappiness of his warring parents, a broad-minded mother and a bigoted father, Martin Booth's memoir of his childhood in Hong Kong in the early 1950s is a journey into Chinese culture and an extinct colonial way of life.",37,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Classics', 'Adult Fiction']"
Water for Elephants,SARA GRUEN,"Ninety-something-year-old Jacob Jankowski remembers his time in the circus as a young man during the Great Depression, and his friendship with Marlena, the star of the equestrian act, and Rosie, the elephant, who gave them hope. Reader's Guide included. Reprint.",38,"['Fiction', 'Historical Fiction', 'Romance', 'Book Club', 'Historical', 'Adult', 'Adult Fiction']"
The Book Thief,MARKUS ZUSAK,"Trying to make sense of the horrors of World War II, Death is fascinated by one young girl, Liesel, whose book-stealing and story-telling talents help sustain her community, especially her family and the Jewish man they are hiding.",39,"['Historical Fiction', 'Fiction', 'Young Adult', 'Classics', 'Historical', 'Book Club', 'War']"
Where the Sidewalk Ends,SHEL SILVERSTEIN,A boy who turns into a TV set and a girl who eats a whale are only two of the characters in a collection of humorous poetry illustrated with the author's own drawings.,40,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books']"
City of Bones,CASSANDRA CLARE,"City of fallen angels: As mysterious murders threaten the new peace between Shadowhunters and Downworlders, only Simon, the Daylighter vampire, can help bring both groups together.",41,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']"
The Geography of Girlhood,KIRSTEN SMITH,"Bursting with painfully accurate and sharply witty observations, a novel written in verse follows a young woman exploring first crushes, first dances, first kisses, and the many other hazards of growing up.",42,"['Fantasy', 'Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance']"
Eldest,CHRISTOPHER PAOLINI,"Don’t miss the eagerly anticipated epic new fantasy from Christopher Paolini—Murtagh! New magic and new threats take flight in Book Two of the Inheritance Cycle, perfect for fans of Lord of the Rings! This New York Times bestselling series has sold over 40 million copies and is an international fantasy sensation. ""Christopher Paolini is a true rarity."" —The Washington Post Darkness falls… despair abounds… evil reigns… Eragon and his dragon, Saphira, have just saved the rebel state from destruction by the mighty forces of King Galbatorix. Now Eragon must travel to Ellésmera, land of the elves, for further training in the skills of the Dragon Rider: magic and swordsmanship. But chaos and betrayal plague him at every turn, and nothing is what it seems. Before long, Eragon doesn’t know whom he can trust. Will the king’s dark hand strangle all resistance? Eragon may not escape with even his life. . . .",43,"['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Adventure', 'Magic', 'High Fantasy']"
The Hitchhiker's Guide to the Galaxy,DOUGLAS ADAMS,"NEW YORK TIMES BESTSELLER • “Extremely funny . . . inspired lunacy . . . [and] over much too soon.”—The Washington Post Book World SOON TO BE A HULU SERIES • Now celebrating the pivotal 42nd anniversary of The Hitchhiker’s Guide to the Galaxy! Nominated as one of America’s best-loved novels by PBS’s The Great American Read It’s an ordinary Thursday morning for Arthur Dent . . . until his house gets demolished. The Earth follows shortly after to make way for a new hyperspace express route, and Arthur’s best friend has just announced that he’s an alien. After that, things get much, much worse. With just a towel, a small yellow fish, and a book, Arthur has to navigate through a very hostile universe in the company of a gang of unreliable aliens. Luckily the fish is quite good at languages. And the book is The Hitchhiker’s Guide to the Galaxy . . . which helpfully has the words DON’T PANIC inscribed in large, friendly letters on its cover. Douglas Adams’s mega-selling pop-culture classic sends logic into orbit, plays havoc with both time and physics, offers up pithy commentary on such things as ballpoint pens, potted plants, and digital watches . . . and, most important, reveals the ultimate answer to life, the universe, and everything. Now, if you could only figure out the question. . . .",44,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Audiobook', 'Science Fiction Fantasy']"
A Tree Grows in Brooklyn,BETTY SMITH,The American classic about a young girl's coming of age at the turn of the century.,45,"['Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School', 'Audiobook']"
Breaking Dawn,STEPHENIE MEYER,"When you loved the one who was killing you, it left you no options. How could you run, how could you fight, when doing so would hurt that beloved one? If your life was all you had to give, how could you not give it? If it was someone you truly loved? To be irrevocably in love with a vampire is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewolf Jacob Black, a tumultuous year of temptation, loss, and strife have led her to the ultimate turning point. Her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs. Now that Bella has made her decision, a startling chain of unprecedented events is about to unfold with potentially devastating, and unfathomable, consequences. Just when the frayed strands of Bella's life-first discovered in Twilight, then scattered and torn in New Moon and Eclipse-seem ready to heal and knit together, could they be destroyed... forever? The astonishing, breathlessly anticipated conclusion to the Twilight Saga, Breaking Dawn illuminates the secrets and mysteries of this spellbinding romantic epic that has entranced millions.",46,"['Fantasy', 'Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance']"
The Secret Life of Bees,SUE MONK KIDD,"The multi-million bestselling novel about a young girl's journey towards healing and the transforming power of love, from the award-winning author of The Invention of Wings and The Book of Longings Set in South Carolina in 1964, The Secret Life of Bees tells the story of Lily Owens, whose life has been shaped around the blurred memory of the afternoon her mother was killed. When Lily's fierce-hearted Black ""stand-in mother,"" Rosaleen, insults three of the deepest racists in town, Lily decides to spring them both free. They escape to Tiburon, South Carolina—a town that holds the secret to her mother's past. Taken in by an eccentric trio of Black beekeeping sisters, Lily is introduced to their mesmerizing world of bees and honey, and the Black Madonna. This is a remarkable novel about divine female power, a story that women will share and pass on to their daughters for years to come.",47,"['Fiction', 'Historical Fiction', 'Book Club', 'Classics', 'Young Adult', 'Historical', 'Contemporary']"
Siddhartha,HERMANN HESSE,"A bold translation of Nobel Prize-winner Herman Hesse's most inspirational and beloved work, which was nominated as one of America’s best-loved novels by PBS’s The Great American Read A Penguin Classics Deluxe Edition Hesse's famous and influential novel, Siddartha, is perhaps the most important and compelling moral allegory our troubled century has produced. Integrating Eastern and Western spiritual traditions with psychoanalysis and philosophy, this strangely simple tale, written with a deep and moving empathy for humanity, has touched the lives of millions since its original publication in 1922. Set in India, Siddhartha is the story of a young Brahmin's search for ultimate reality after meeting with the Buddha. His quest takes him from a life of decadence to asceticism, through the illusory joys of sensual love with a beautiful courtesan, and of wealth and fame, to the painful struggles with his son and the ultimate wisdom of renunciation. This new translation by award-winning translator Joachim Neugroschel includes an introduction by Hesse biographer Ralph Freedman. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",48,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Adventure', 'Young Adult', 'School']"
The Trumpet of the Swan (full color),E. B. WHITE,"Swan Song Like the rest of his family, Louis is a trumpeter swan. But unlike his four brothers and sisters, Louis can't trumpet joyfully. In fact, he can't even make a sound. And since he can't trumpet his love, the beautiful swan Serena pays absolutely no attention to him. Louis tries everything he can think of to win Serena's affection--he even goes to school to learn to read and write. But nothing seems to work. Then his father steals him a real brass trumpet. Is a musical instrument the key to winning Louis his love?",49,"['Fiction', 'Childrens', 'Classics', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals']"
How the Universe Got Its Spots,JANNA LEVIN,"A physicist describes what we know about the shape, extent, origins, and evolution of the universe, the complexities of space and time, and the secrets of black holes, time warps, and other phenomena.",50,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Book Club', 'Classics', 'Autistic Spectrum Disorder']"
His Dark Materials: The Golden Compass (Book 1),PHILIP PULLMAN,"The modern fantasy classic that Entertainment Weekly named an “All-Time Greatest Novel” and Newsweek hailed as a “Top 100 Book of All Time.” Philip Pullman takes readers to a world where humans have animal familiars and where parallel universes are within reach. Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world. Can one small girl make a difference in such great and terrible endeavors? This is Lyra: a savage, a schemer, a liar, and as fierce and true a champion as Roger or Asriel could want. But what Lyra doesn't know is that to help one of them will be to betray the other... A masterwork of storytelling and suspense, Philip Pullman's award-winning The Golden Compass is the first in the His Dark Materials series, which continues with The Subtle Knife and The Amber Spyglass. A #1 New York Times Bestseller Winner of the Guardian Prize for Children's Fiction Published in 40 Countries ""Arguably the best juvenile fantasy novel of the past twenty years."" —The Washington Post ""Very grand indeed."" —The New York Times ""Pullman is quite possibly a genius."" —Newsweek Don't miss Philip Pullman's epic new trilogy set in the world of His Dark Materials! ** THE BOOK OF DUST ** La Belle Sauvage The Secret Commonwealth",51,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Middle Grade', 'Audiobook']"
Discover Biology,DAVID DEMERS,,52,"['Fiction', 'Gothic', 'Historical Fiction', 'Literature', 'Historical', 'Novels', '19th Century']"
